"","numemp","asset","RBCT2","rbc1rwaj","rbcrwaj"
"26979",11,20559,111,15.3962135107408,16.2588988715143
"16419",34,47131,366.07,12.6192825516313,13.873910678648
"4788",7,14552,63.47,38.2707752075576,39.5365626501963
"23406",150,786181,5089.51,14.2632173574429,15.5233994140852
"33619",25,65821,463,11.2994590639232,12.2843328490505
"27552",30,61038,321,16.168236255031,17.2211889508852
"1673",46,31914,294.77,9.58187510392666,10.8616437148847
"19713",14,14666,79.69,27.8567086644575,29.1281296916457
"6646",28,59557,230,22.229805489202,22.9772989486342
"26977",26,32677,206,17.9440172928011,19.0713328043341
"17316",39,157167,877,16.5228737099972,17.7414894903074
"21170",44,46890,324.25,14.5003248211556,15.7504525327375
"28738",71,164827,1052,28.5438811584197,29.7270595517254
"20662",9,18331,111,15.9118848395923,17.0123329499941
"19593",14,18965,170.93,12.4055940880826,13.6573580771476
"9087",715,1530476,18706.93,10.0736463746647,11.7686337155799
"14181",12,45783,273.73,17.8099988389771,19.0661521453913
"22536",32,48574,211,14.8049676100738,15.718640662348
"22543",6,13639,79,15.0585536319257,16.1122522474458
"27789",66,207612,1605.31,12.5061829483721,13.7607949061806
"27136",160,285996,2660.91,11.0602389243186,12.3333960603329
"21442",36,134002,1214.32,14.551648080794,16.6834320471917
"8841",27,63960,550,9.49738758356241,10.6612831207637
"27831",59,141040,312,13.3218400783857,13.7088072233867
"32257",110,83606,715,13.4761502743774,14.7337132404671
"30332",10,28999,111.56,35.6379187455453,36.8960726111317
"30619",13,39497,233,14.993284985227,16.2449637389202
"19795",35,87773,858.46,11.9678775653415,13.2270936671607
"22051",140,403908,2646.45,12.1190370306799,13.3703997130772
"27942",51,213619,1336,13.2833755126337,14.2591598467668
"25002",28,55972,256,19.019090170593,19.8855943677227
"32266",49,319115,986,8.42986931847764,9.07156245118967
"26668",16,23653,174.2,15.2560410201454,16.5524324082963
"21109",44,57155,451.29,11.9053305544917,13.1659491903286
"14936",15,37475,282.6,16.5725935686051,17.830561589687
"23064",7,10730,60,25.1592744389888,26.3766586860366
"18489",85,150880,1427.25,8.97918593102879,10.2319271939868
"26568",30,85068,626.63,18.0606453465581,19.3120100296092
"14311",9,30817,246,13.1096867656596,14.1456594429331
"32304",6,20602,10,25.1160683954252,25.2293058543766
"7506",144,469624,2782.66,21.1451917279066,22.3986508735241
"22658",37,80970,842.86,9.01393482963647,10.4258443465492
"9812",6,16281,84,37.0934282397275,37.8927735378642
"26202",21,27100,127.62,14.9639018224959,16.2319583633903
"5682",20,44017,395.33,10.2256096765084,11.4841682921417
"9531",11,25786,185.63,13.2864790021726,14.5378078185974
"28380",55,87928,730,7.68283084083365,8.93193251428767
"26973",30,27981,197.93,13.712337867944,14.9682763381903
"10922",9,12760,93,13.3528612331605,14.5799522358126
"8251",14,38087,202,24.3468593663146,25.4162365335239
"8822",11,19882,128,15.5002674855662,16.3895701472213
"13435",73,124008,870.93,13.4451912718168,14.6963741369053
"33104",129,349281,598,26.8717640820909,27.4546191753478
"31372",25,35414,188,28.9101224246044,30.0328456255599
"29472",29,79062,174,11.2101996459701,11.6000806650384
