"","numemp","asset","RWAJT","RBCT2","rbc1rwaj","rbcrwaj"
"15448",10,16050,11188.8,103,11.5561990561991,12.4767624767625
"23309",50,99230,74363.89,935.59,9.16573890903233,10.4238629797338
"16419",34,54413,34594.55,432.65,12.7823602272612,14.0329907456521
"4788",7,14627,5332.67,67.47,35.1043661055344,36.3695859672547
"23406",168,922734,509496.63,6401.13,13.5753596643024,14.8317232245481
"33619",48,130484,96448.2,1077,8.74666401239214,9.86332559861148
"27552",36,77569,41035.2,393,13.7150543923266,14.6727687448824
"1673",73,40343,29606.89,376.89,9.20056108561217,10.4735418005741
"19713",18,26353,15163.73,190.23,25.7720231104089,27.0265297522443
"6646",28,62315,36725.4,207,20.9664156142615,21.5300582158397
"26977",27,38636,23153.3,266,15.9286149274617,17.0774792362212
"28738",68,248148,137919,1689,17.3333623358638,18.4303830509212
"20662",9,20637,13494.6,114,12.8866361359359,13.7314184933233
"19593",16,20313,15666.6,184,12.1468601994051,13.3213332822693
"9087",726,1736391,1255453.56,20175.56,11.2399219290915,12.846955485952
"22536",31,54356,26374.8,257,14.7678844958066,15.7422994676737
"22543",6,15230,9489,94,13.4366108125198,14.4272315312467
"27789",67,226428,145960.33,1833.23,13.4015865817788,14.6575648328556
"27136",158,304254,247418.92,3132.32,11.7003986598923,12.966397234294
"8841",27,78313,52864.3,571,11.4841206636615,12.5642446793015
"27831",61,178642,106559,544,11.9070186469468,12.4175339483291
"32257",100,106885,57588,580,14.5238591373203,15.5310134055706
"30332",10,32260,14672.6,164,22.9270885868899,24.0448182326241
"30619",14,43562,21454,269,14.4728255803114,15.7266710170598
"19795",34,96435,76361.27,964.87,11.7834603850879,13.0470197784819
"22051",143,460484,216271.9,1436,12.30626817446,12.9702471749682
"27942",53,238247,146678.1,1263,15.3656203618672,16.2266896012424
"25002",30,62452,36685,306,15.1369769660624,15.9711053564127
"32266",49,500209,240445,1048,8.32581255588596,8.76167106822766
"26668",13,22826,13143.91,169.51,18.7767566880784,20.0664033761643
"21109",51,74627,48141.94,602.84,10.3506422882003,11.6028560544091
"14936",15,49849,23479.64,294.74,19.5999597949543,20.8552601317567
"23064",8,10917,5204.3,57,27.381204004381,28.4764521645562
"18489",87,160008,121744.72,1527.12,9.87147532968986,11.1258377365359
"26568",30,91259,53589.7,652,19.1510682090029,20.3677199163272
"14311",9,35356,25393.2,287,13.1570656711246,14.2872895105776
"32304",6,20640,9012,10,28.7727474478473,28.8837106080781
"7506",177,458997,253981.39,3175.99,19.3636234528837,20.6141048365788
"22658",36,92355,67749.64,881.94,9.45392477362241,10.755688148306
"9812",6,17688,10925.4,84,38.0031852380691,38.7720358064693
"26202",20,30320,14842.2,187,14.1757960410182,15.4357170769832
"5682",20,53353,35768.52,448.72,11.6079725971329,12.8624835469849
"28380",62,109174,70556.92,882.32,8.89778068543808,10.1482887858484
"26973",30,38765,23453.69,293.79,11.1965324006585,12.4491711112409
"10922",9,12592,7457.45,93.25,15.5683242931565,16.8187517180806
"33914",18,38130,12829,161,73.5832878634344,74.058773092213
"8251",14,38085,22386.7,218,13.8207060442138,14.7944985192101
"8822",12,22975,16128.9,180,15.1653243556597,16.2813335069348
"13435",74,136780,81069.27,1015.67,10.9955350529245,12.2483772211098
"33104",110,329864,117681.2,615,24.8416909412888,25.36428928325
"31372",23,35372,17003,57,32.1178615538434,32.4530965123802
"29472",30,86544,52056,201,11.364684186261,11.7508068234209
"33535",30,78776,156437.6,1252,8.00127335116366,8.80159245603359
"33979",1,1135394,920813.8,39000,8.04353714073356,12.2789211021816
"28923",250,969559,433570,5384,15.0397859630509,16.2815692967687
"25332",62,256500,174877.51,2189.81,7.96443178999976,9.21662825597185
"13693",93,320971,241148.87,3032.67,12.1974446739062,13.4550371312128
"91005",15,249862,189762.38,2402.98,10.0014555045104,11.2677655075785
