"","cert","numemp","asset","RBCT2"
"1",26979,10,14513,96
"2",26606,21,44368,243
"3",16419,34,46583,362.06
"4",4788,7,14590,58.9
"5",23406,146,718392,4444.94
"6",33619,14,28303,166
"7",27552,27,53234,217
"8",1673,39,28644,267.42
"9",6646,28,61635,222
"10",26977,19,26888,142
"11",17316,47,155254,824
"12",21170,37,43478,263.04
"13",22419,158,277495,1347
"14",28738,61,143923,941
"15",20662,9,18130,113
"16",19593,13,18745,162.82
"17",9087,709,1392536,18397.32
"18",14181,12,40398,260.19
"19",22536,34,45717,242
"20",22543,6,13377,85.07
"21",27136,75,128338,1169.15
"22",21442,38,109142,1098.61
"23",8841,22,53722,446.55
"24",27831,60,150192,200
"25",32257,98,66380,672
"26",30332,8,32454,124.9
"27",30619,12,40711,250
"28",19795,32,76948,717.5
"29",22051,119,339203,1710
"30",27942,54,204775,1265
"31",33504,36,53903,0
"32",25002,29,77600,247
"33",32266,33,221988,867
"34",26668,15,24037,203.79
"35",21109,43,56410,414.33
"36",14936,17,35572,258.03
"37",23064,7,9961,57.41
"38",2730,7,13621,88.92
"39",18489,76,140638,1264.97
"40",26568,32,82293,601.11
"41",14311,9,28401,222
"42",32304,6,20156,10
"43",7506,165,453893,2799.46
"44",22658,39,72041,758.49
"45",9812,6,15693,84
"46",26202,17,21679,114.08
"47",5682,20,42133,384.38
"48",9531,11,23633,163
"49",28380,52,82418,652
"50",26973,25,24995,212.07
"51",10922,9,11422,90.63
"52",8251,14,34370,223.79
"53",8822,10,20033,165
"54",13435,77,120867,873.27
"55",33104,141,374255,572
"56",31372,26,35693,210
"57",29472,27,66228,119
"58",33549,6,4694,0
"59",90309,42,101229,916.75
"60",28923,185,626828,3556
"61",25332,62,384103,3262.55
"62",13693,70,163248,1069.46
"63",91005,13,147792,1380.49
"64",27318,25,44068,414.05
"65",19600,40,56553,282.25
"66",15696,32,41479,335.44
"67",19158,77,223106,1622
"68",10361,66,74216,579.92
"69",29087,30,127150,471
"70",29849,59,107693,632
"71",17230,102,242894,1382
"72",32106,874,2802817,12246
"73",230,9,17173,141.35
"74",29349,18,48023,141
"75",16321,9,18021,144.03
"76",17622,22,44194,331.53
"77",9831,43,108648,612
"78",892,133,337061,2396.02
"79",4061,8,13589,95.19
"80",29561,12,44527,161
"81",13080,42,108626,617.24
"82",10326,94,208638,947.21
"83",23032,26,31181,211.15
"84",20153,29,72348,586
"85",32575,48,28816,159
"86",6058,73,200070,882
"87",26984,47,101182,672.3
"88",1078,27,47823,320
"89",11010,12,36360,296.53
"90",8583,26,45423,182.66
"91",15062,23,37845,291
"92",23124,18,46277,989.57
"93",33468,21,29352,238
"94",5373,22,48555,191.9
"95",163,146,264656,1812.77
"96",3640,22,49044,274.94
"97",33684,NA,224043,0
"98",32474,177,230489,1601
"99",10623,12,20833,124
"100",15699,23,36715,308.68
"101",33562,2,3817,0
"102",24473,9,17161,146.14
"103",23091,34,51008,467
"104",18545,80,129816,983.98
"105",27532,20,53022,472.23
"106",22306,16,30821,260.87
"107",20937,22,34242,282
"108",33210,10,12947,106
"109",21687,15,36280,329.32
"110",23403,30,70675,433
"111",19590,27,52339,347.26
"112",8276,12,26023,85
"113",14498,8,17691,116
"114",27711,32,81257,351
"115",10173,11,26068,159
"116",33413,283,495433,0
"117",9465,31,140459,596
"118",19950,15,18811,121.97
"119",11892,52,89282,676.88
"120",32136,21,41886,0
"121",903,186,470587,2103
"122",622,469,1953393,6539.29
"123",14531,392,743573,6272
"124",33197,22,75588,530
"125",28701,30,122335,0
"126",6423,172,909471,6826.32
"127",14341,89,160343,1135
"128",3735,364,915877,8207
"129",9266,78,167618,1196
"130",11321,19,45768,312.6
"131",27267,29,73695,417
"132",29031,99,268494,751
"133",31335,465,1094885,8778
"134",20289,73,144022,1147.25
"135",21824,34,56291,401.86
"136",29289,97,274555,623
"137",21490,10,15032,82.63
"138",6782,47,73498,366.8
"139",26213,25,50238,490.14
"140",20726,31,51325,473.02
"141",19345,65,89676,629.76
"142",21946,21,35274,231.48
"143",22968,85,152543,848.1
"144",21614,28,36972,181
"145",20311,81,126523,1139.33
"146",19594,42,48732,386.13
"147",19838,31,75388,665.34
"148",19234,22,30921,274.84
"149",17906,46,51979,351.94
"150",19281,77,74979,424.22
"151",26904,15,31300,288.17
"152",20156,48,89309,536
"153",20537,80,146648,1284.48
"154",10570,65,140584,1236.37
"155",21919,66,76928,646.11
"156",1393,65,116461,1059
"157",4624,20,46069,223
"158",27501,30,68799,440
"159",20663,24,55270,451.35
"160",22440,67,72360,607
"161",22989,90,208935,664
"162",18609,81,141639,886
"163",26498,138,458635,3546.98
"164",20639,133,212646,1291
"165",10892,11,12191,78.78
"166",21260,45,74519,575.84
"167",16749,35,78210,400.43
"168",19862,47,128934,521
"169",24678,17,25151,175.72
"170",20473,90,155103,1417.86
"171",21567,20,21132,102
"172",23886,84,108660,642.05
"173",20504,43,78275,692.38
"174",27006,22,63562,558.1
"175",33709,4,13480,122.42
"176",32723,13,40609,302
"177",21663,62,71765,471
"178",21224,58,107597,494
"179",31382,110,242165,1365
"180",15001,137,392267,1929
"181",31581,6,20296,0
"182",30809,29,67408,313
"183",428,33,55606,205.42
"184",10647,9,20876,147.23
"185",427,29,28833,159.98
"186",2328,16,29888,121
"187",26365,1506,10397463,87972.28
"188",27471,7,8873,34.63
"189",32597,409,1549398,8342
"190",29242,14,52427,127
"191",28574,563,1048478,7767
"192",31346,5,20571,0
"193",29140,66,156280,1098
"194",30182,73,108858,393
