"","numemp","asset","RWAJT","RBCT2"
"26979",12,14126,10484.7,103
"16419",33,45843,28407.27,355.87
"4788",7,14392,4298.5,54.7
"23406",149,715457,386497.61,4872.51
"33619",21,63937,40038,344
"27552",27,55743,28075.1,260
"1673",39,30103,22652.98,287.38
"6646",28,62335,33185.3,234
"26977",22,29850,16392.6,185
"17316",39,171280,81919.7,841
"21170",40,41174,21521.14,269.34
"22419",159,278641,103858.7,527
"28738",70,147142,80562,1013
"20662",9,18148,9898.6,101
"19593",12,18969,14806,182
"9087",712,1428423,1013744.49,18023.59
"14181",12,41791,22647.2,284.3
"22536",33,48304,23225.3,211
"22543",5,13211,6940.67,86.77
"27789",65,208426,130645.7,1590
"27136",74,126120,93654.8,1142
"21442",34,131896,55202.32,1192.92
"8841",21,59617,40259.76,503.96
"27831",65,149368,79222,230
"32257",111,71530,58792,738
"30332",9,33070,9826.49,123.39
"30619",13,39759,19012,238
"19795",32,80239,62541.56,787.56
"22051",120,346693,180402.6,2051
"27942",53,207483,129979.8,1336
"33504",33,45945,34763,0
"25002",31,71198,34308.2,277
"32266",41,241005,124396,946
"26668",16,23703,16322.64,209.54
"21109",46,56897,34722.93,437.43
"14936",17,35958,21395.3,269.2
"23064",6,9237,4530.89,56.69
"2730",7,13874,7287.36,91.46
"18489",83,143915,102354.95,1286.05
"26568",32,81899,48236.57,603.67
"14311",9,29178,22625.1,224
"32304",6,20471,8590,10
"7506",160,470960,217071.91,2724.11
"22658",39,79624,57826.32,850.42
"9812",6,16065,9844.3,84
"26202",17,23671,9474.89,119.99
"5682",20,45233,32742.62,411.22
"9531",11,26329,14753,182
"28380",51,84941,52905,662
"26973",24,24416,14724.61,185.91
"10922",9,12190,7360.8,87
"8251",15,38129,18371.9,179
"8822",10,21569,13843.4,171
"13435",76,123657,70887.96,886.16
"33104",134,363867,111231.5,594
"31372",29,34627,17509,186
"29472",28,70582,42308,142
"33549",5,6057,6521,0
"28923",185,677171,319109,4026
"25332",63,385507,250346.42,3155.52
"13693",63,164642,86016.36,1100.56
"91005",14,156816,119401.62,1499.22
"27318",23,43919,33431.89,420.39
"19600",37,60008,24282.36,306.66
"15696",32,41486,27435.77,343.17
"19158",79,225584,146233.4,1626
"10361",66,79990,47940.4,510
"29087",30,130044,55069,537
"29849",59,106581,50126,538
"17230",104,246987,145545.7,1641
"32106",863,2741202,1513340,12984
"230",10,17786,12289.88,154.18
"29349",18,50303,25866,104
"16321",9,20182,12946.51,162.11
"17622",26,46783,27457.96,345.26
"9831",43,112826,53851.85,674.75
"4061",8,12997,8284.81,104.01
"29561",12,45289,12790,161
"13080",39,112486,49677.72,623.02
"10326",98,189470,72795.46,912.76
"23032",25,31418,17001.4,212.8
"20153",33,73276,50919.77,636.57
"32575",54,31254,16799,185
"6058",76,203817,85896.3,923
"26984",47,104881,59975.14,754.94
"1078",30,66888,42982.7,460
"11010",13,37621,24079.16,301.16
"8583",26,44936,15858.48,199.08
