"","numemp","asset","RBCT2"
"15448",8,19061,151
"22039",17,43916,450
"16419",40,73082,617
"30367",26,136679,705
"4788",6,16872,117
"31826",51,107577,856
"57298",14,9480,14
"35048",32,141901,977
"35456",12,59026,245
"11706",17,38025,181
"161",53,172393,1599
"27552",51,221211,1315
"34393",10,75908,556
"1149",23,46086,387
"1673",378,170455,2482
"6646",36,77608,256
"26744",72,202966,1441
"3564",88,191293,1453
"26977",58,78242,493
"35517",22,36111,217
"57157",8,14987,54
"35086",27,18884,89
"9087",957,3362077,36662
"27789",84,333509,2846
"22543",7,20761,153
"8426",105,246350,1917
"31249",40,93084,585
"8841",15,43768,341
"9751",40,99573,901
"91005",64,220940,2097
"27831",60,201186,1803
"35018",196,31888,0
"34799",97,220055,855
"32257",138,232720,882
"30332",16,35727,77
"30619",12,51618,368
"19795",51,158874,1555
"27942",94,472213,1280
"22051",264,791623,4653
"25002",30,101109,660
"32266",60,682550,3676
"35559",13,24907,212
"35189",114,97178,909
"14936",24,72358,517
"30400",64,160145,1324
"18489",127,261944,2786
"26568",36,136507,782
"14311",13,52239,429
"32304",6,24676,99
"7506",174,580577,3778
"22658",57,168200,1945
"9812",6,24632,131
"5682",20,74680,511
"28380",87,205226,1541
"26973",117,485873,3954
"10922",11,25758,165
"33914",1,136491,0
"8251",18,61028,414
"8822",10,24978,159
"31372",18,39912,961
"11687",248,614665,2795
"29472",67,194207,966
"33535",496,1003222,25750
"18664",3,336376,602
"35408",22,28910,277
"27642",209,1005262,3311
"57072",18,53465,460
"34939",26,79568,549
"57103",20,64378,330
"25332",21,4804,0
"31217",68,160400,1170
"34885",10,41732,226
"27197",67,407804,3394
"35267",42,797035,1056
"19600",64,79212,380
"15696",32,74979,529
"35224",14,29500,179
"34676",28,90231,3408
"35314",10,36489,200
"10361",97,186183,932
"29087",44,157371,410
"29849",71,149090,877
"35029",24,77773,615
"17230",124,403761,2172
"34947",25,84081,705
"34106",26,53118,538
"9831",62,177602,728
"17622",46,130413,1122
"3931",245,415305,7168
"4061",8,26800,252
"29561",24,52128,344
"13080",49,148596,722
"2773",247,705213,6018
"20093",29,34945,190
"34388",50,90690,569
"6058",93,243776,2160
"35078",13,48137,430
"34987",10,46759,307
"35265",14,37345,286
"1078",314,1297163,12198
"8583",26,64222,497
"15062",23,45508,191
"4822",5411,16378792,310011
"23834",1,72655,160
"11569",159,314010,2205
"23124",39,146689,3927
"34664",23,128381,570
"34566",21,56716,368
"34930",10,32249,347
"1932",90,324558,2913
"35140",19,60264,356
"34473",38,97974,578
"7237",266,702096,3974
"33468",61,113947,801
"35146",11,64990,203
"35173",19,48864,416
"55130",18,82614,1664
"33684",NA,1627222,NA
"34782",49,79847,0
"15699",29,76716,788
"15426",11,16026,156
"10790",53,156920,607
"23091",410,883513,6342
"18545",168,354739,2634
"35377",11,132545,215
"19590",54,103845,736
"8276",13,35670,167
"27711",40,117843,885
"10173",12,38918,235
"9465",36,183677,1557
"622",507,2896083,3164
"903",206,535586,4345
"14531",504,1372934,11524
"34302",32,56300,431
"28701",36,185946,551
"6423",226,1663337,16740
"3735",1139,4010238,33837
"27267",30,137475,789
"29031",171,511239,1726
"6782",55,84766,375
"20726",32,95165,851
"35461",14,33193,215
"19594",37,63079,560
"19838",58,169562,1558
"21614",62,130405,727
"20557",31,69625,681
"27501",135,559486,3899
"34422",43,353675,1513
"32328",43,159379,952
"24678",43,95567,608
"19234",19,62175,559
"17906",44,84163,531
"35568",13,38479,348
"20156",84,184778,1238
"20537",63,150144,931
"34955",126,274792,2267
"21919",60,95931,718
"10973",22,64290,530
"4624",25,75885,283
"34232",11,18953,178
"18609",155,349679,2947
"26498",156,929269,6329
"20311",65,244987,1883
"34606",21,40103,200
"20473",312,703498,6062
"23433",46,109139,1002
"10954",27,89678,696
"15836",13,30172,242
"21567",17,24480,217
"23886",85,210681,1208
"20241",227,424780,3137
"5800",29,125023,1297
"20504",59,163815,1684
"34788",32,203063,1330
"22683",203,877970,8426
"27006",154,741278,6636
"21663",42,101766,520
"35033",11,29843,183
"34868",58,174293,1781
"33994",27,156617,1298
"35412",25,137469,1050
"34523",15,59006,484
"31581",7,34095,33
"34090",32,132506,520
"428",40,55881,352
"10647",10,24994,215
"2328",16,35882,213
"27471",1379,16704477,224827
"35328",15,4513,0
"29140",128,256116,2192
"30182",71,171193,654
"34656",61,194208,1794
"57113",15,32304,303
"35223",8,29337,251
"57025",18,33783,190
"4190",191,389158,1958
"8843",67,156156,1373
"57174",20,22494,28
"239",19,50725,505
"1439",15,69046,589
"25192",402,539666,6102
"26764",62,137077,1618
"30950",3,6382,23
"16730",86,219909,2113
"34334",14,29775,269
"19300",236,720021,7702
"18806",19,30698,271
"35562",5,21853,110
"33993",16,71444,710
"26398",30,100986,1037
"22373",96,232929,1627
"57156",5,13922,96
"24472",52,104154,584
"25621",53,125258,788
"33812",21,96440,983
"6837",202,564259,5242
"3619",1245,15581752,537880
"24481",28,87297,765
"26499",82,269036,2987
"24334",18,45557,289
"23001",30,74948,592
"24655",52,221419,2124
"29899",10,32431,61
"31980",19,48036,534
"9104",7,35678,247
"18246",303,1907927,31557
"30385",13,53926,156
"30617",49,258684,1559
"32526",1235,6065613,36062
"29597",25,140781,713
"29878",28,138610,736
"34549",5,30048,230
"26944",28,76500,576
"22569",16,46647,331
"16701",530,1372363,7553
"20292",16,15130,96
"15432",8,19354,114
"9645",38,59938,270
"5617",72,225793,1152
"228",64,243091,2252
"1117",44,111616,1148
"15444",71,155894,1428
"57144",9,36307,172
"19115",79,123827,1001
"10204",7,18051,149
"22263",8,14283,102
"20712",19,43484,475
"22554",30,81766,780
"21131",40,162735,1462
"8266",124,184376,1225
"13150",181,573102,5031
"13099",56,116017,473
"10120",10,35152,254
"30713",3,8655,136
"8205",46,93722,635
"5174",95,93156,622
"29668",23,83601,174
"22441",238,595309,6019
"27531",22,52079,396
"34294",11,22633,216
"19418",49,148222,839
"18957",231,552169,5419
"2838",33,133114,906
"23671",67,60913,539
"22444",38,122944,850
"7542",400,1269327,5613
"15510",38,105223,299
"57115",11,28516,145
"5417",37,97846,684
"28393",449,236577,423
"28949",7,50525,79
"26800",11982,38261050,672993
"33784",71,132076,584
"91325",9,145254,0
"15354",24,47160,242
"22381",18,35408,189
"33467",26,71826,594
"5147",23,61163,572
"18903",73,241216,1863
"12922",11,44072,384
"8868",48,191465,1487
"28454",109,373664,2402
"11681",4,12368,81
"29979",760,3051284,23509
"22959",8,20462,87
"34149",15,49592,360
"9923",107,204320,1758
"10858",13,45755,386
"18483",7,13239,112
"23284",278,1631941,13737
"16410",25,54445,315
"22015",85,172726,1395
"17751",149,468462,2811
"32018",23,44920,197
"33134",57,264768,2745
"11682",22,55915,148
"10989",33,86998,639
"30079",5,29747,218
"9619",31,62245,422
"6051",55,123812,905
"33989",88,310915,2731
"16068",708,5993332,25402
"17453",30,150161,923
"32649",90,70074,573
"33655",NA,421343,NA
"21001",53,131175,554
"18625",96,298570,1711
"31813",4,5293,24
"18478",690,2625721,20884
"28507",18,55828,92
"15392",7,14986,116
"32960",26,113277,440
"13304",45,94546,726
"33901",127,470374,3947
"18277",51,116030,743
"26822",55,96207,567
"1391",19,50910,297
"35354",28,12948,74
"4666",582,443539,2351
"2315",150,255464,1394
"29471",7,57728,162
"29743",24,69372,213
"9967",50,102766,250
"1198",37,94172,180
"35578",10,29012,354
"15085",88,173077,1395
"17123",127,421590,3192
"28780",67,312080,2660
"26867",300,481225,4125
"3879",49,64738,594
"3891",213,643291,5511
"4081",73,125604,1093
"34012",137,194885,2133
"13595",53,125560,979
"25661",323,588378,5890
"22671",21,80966,601
"32422",3,9333,25
"29663",143,414522,3054
"1436",4,7458,85
"11343",7,23579,211
"25745",87,331732,2168
"34095",28,134405,1544
"33825",45,99263,847
"24497",17,49978,353
"34759",22,24428,188
"33013",15,46694,353
"34831",14,37208,382
"22177",115,641010,5279
"34916",694,2866176,22267
"21222",162,719299,7357
"5296",2138,9614880,85120
"34208",59,28383,0
"33792",8,153376,983
"33367",468,426581,2011
"34976",10,13749,115
"29805",1892,22700923,82005
"24064",18,46355,155
"29085",60,147037,870
"28225",204,707144,6792
"9631",15,56136,262
"90146",79,214098,2645
"27293",23,79860,1183
"9096",7,23464,133
"21641",92,238827,1678
"5915",352,2049200,18068
"24829",25,275637,2890
"45826",127,370280,3465
"30243",24,119780,345
"34677",29,116962,736
"32335",49,441572,1651
"34340",280,825095,6706
"26390",93,264617,2336
"30783",10,64224,50
"1396",8,21191,192
"284",25,54487,434
"34557",28,74461,715
"28288",12,55595,179
"11477",21,65561,415
"35",119,451297,3666
"26336",41,288457,1194
"28191",19,108379,421
"5814",24,55307,494
"11694",77,193394,1520
"3276",297,556070,4723
"35115",9,4199,0
"13191",13,67341,128
"26617",8,44891,256
"10171",16,78864,592
"34290",29,22457,0
"30691",19,126268,561
"21265",114,537034,3546
"13272",16,64445,579
"2987",188,378015,2492
"26704",45,81197,970
"32004",42,119121,476
"34456",17,34284,212
"6959",120,252787,1885
"34440",2,13685,42
"32341",126,383272,5696
"11652",97,316496,4097
"27476",1429,2677838,24434
"19919",1309,4723740,92831
"22302",70,94036,773
"34968",6667,18760000,144000
"34967",2100,5427046,49882
"35208",89,53794,132
"20828",1610,7384558,54186
"11813",3913,9392854,83655
"12342",24,40605,312
"26653",13,22615,191
"18408",491,1338547,12958
"1047",85,162814,1313
"1961",66,112037,976
"34554",30,60966,630
"8560",26,55539,500
"33927",14,34377,167
"24516",52,713682,5493
"9644",370,920871,4261
"22559",63,174799,1071
"33686",NA,3415973,NA
"16604",126,349791,3080
"4456",36,90653,716
"17426",14,42903,373
"11354",21,79463,464
"19842",396,3889833,90418
"5170",108,336739,3066
"32964",772,2696861,21727
"15093",39,86401,613
"34421",30,48451,438
"16601",20,54330,411
"11782",40,113508,608
"19434",82,203292,1374
"13290",47,129676,1638
"22130",70,224588,1971
"34577",38,119516,1120
"155",26,51101,407
"34992",155,1060895,4064
"26689",20,125686,1164
"24799",38,101430,624
"25178",1,95842,13
"57117",1,3550214,6430
"35453",1,8327010,2354
"3510",135000,575020000,15429000
"27595",2405,19945945,456251
"12773",163,384657,3566
"34830",13,66965,550
"8243",28,77823,817
"34120",58,233404,1297
"33482",27,129996,881
"8252",18,64812,273
"19877",60,129497,1125
"581",11,18413,84
"33681",NA,96060,NA
"23123",141,488065,3307
"16282",12,29180,146
"1465",12,22187,159
"18930",24,36991,189
"1623",42,61736,400
"8595",15,44230,364
"15817",5,13587,104
"287",148,319181,2651
"100",209,692003,7434
"15267",8,23161,248
"16959",9,24775,71
"8278",11,24705,149
"1756",8,14878,100
"9788",33,121959,873
"32722",187,474173,4737
"10883",16,49862,211
"34397",25,65223,482
"6137",70,161972,1244
"57102",9,9994,2
"5605",28,59192,369
"15833",22,40725,337
"11245",28,100410,222
"9385",23,62867,403
"35439",20,54780,439
"2733",11,42244,312
"15906",14,43302,240
"20239",27,77763,494
"8254",26,60342,472
"12549",29,64193,494
"9176",43,139781,985
"17190",32,73625,464
"15068",11,35762,202
"16754",151,1264918,13947
"15554",15,32570,67
"12325",13,40920,379
"9406",9,11418,69
"105",27,60667,412
"21979",97,240884,1445
"9023",80,167648,1177
"2327",35,68270,352
"10885",7,15263,121
"5713",31,60543,206
"33653",NA,2334191,NA
"34959",25,81381,915
"6123",103,217123,1596
"16953",7,17949,177
"13167",23,95961,586
"26955",63,137077,1370
"21015",18,43398,366
"16980",310,866896,8020
"8775",38,106330,949
"422",30,74727,577
"34385",24,79977,569
"1701",19,49863,416
"26217",45,106367,511
"13274",43,89854,552
"19829",19,33490,259
"22639",23,56538,306
"25328",4,11575,45
"9359",33,149263,784
"10523",94,222979,1321
"4796",15,43536,294
"35455",23,43507,436
"9875",9,35076,95
"23060",46,72935,406
"8531",23,85091,312
"20827",87,254519,2475
"1612",5,22600,164
"1937",40,113793,958
"1468",28,78766,695
"4075",30,68380,537
"17543",30,63891,451
"15291",23,70887,596
"14749",58,120739,902
"34903",33,98714,978
"876",21,69986,503
"2477",15,43813,430
"99",18,70816,507
"17569",4,9707,48
"26542",30,117644,643
"17327",49,155238,799
"14912",15,43357,297
"19515",18,66229,571
"22309",19,55307,492
"9068",44,93403,810
"10805",9,36209,276
"2372",31,51273,489
"15813",24,62478,574
"16243",51,77478,668
"877",65,150871,1439
"296",37,140558,699
"16154",10,35435,306
"11522",41,76110,446
"5687",19,83428,700
"18321",101,212960,1817
"13303",32,73271,562
"1249",27,45096,460
"8532",27,57916,366
"8675",76,203003,1951
"5635",33,78210,600
"57122",20,47958,440
"1751",8,14326,94
"49",13,22540,170
"11207",30,96441,752
"26551",52,121390,1045
"11732",12,55177,393
"16993",59,175448,1167
"1484",30,80484,718
"10594",39,82265,480
"35543",11,27688,199
"12461",8,32381,153
"2398",38,114847,1080
"21158",12,26548,130
"8693",23,52215,476
"15397",48,127038,1065
"5775",45,100935,1332
"13162",15,28717,254
"18243",5,15050,98
"22838",17,58775,432
"2379",31,96313,600
"16527",9,26733,122
"24841",26,98244,956
"24500",39,58161,429
"9392",23,84267,358
"5950",194,691076,6412
"5636",36,167238,1215
"8486",37,195752,1351
"17995",6,24584,197
"15113",21,50481,505
"57169",17,21709,162
