"","cert","numemp","asset","RWAJT","RBCT2"
"1",57899,15,93579,71535,916
"2",22039,24,115741,60074,738
"3",16522,141,745201,356393,4541
"4",16419,42,109827,67285,762
"5",30367,34,242795,158185,1149
"6",4788,7,22918,15234,142
"7",31826,68,240796,125676,1576
"8",57298,38,138361,110526,1393
"9",32487,16,47369,26268,329
"10",58485,45,221917,177093,2226
"11",57657,42,318971,223522,2830
"12",35456,43,276022,181903,2292
"13",58358,6,34513,23804,314
"14",58773,23,50981,26561,264
"15",11706,17,57659,41921,353
"16",27552,144,734371,422667,5298
"17",58321,59,509640,346916,4125
"18",34393,7,115821,84798,1070
"19",57611,4,53331,33610,423
"20",1673,493,481409,255070,4178
"21",58548,21,82347,56507,633
"22",6646,51,107909,78609,986
"23",3564,84,321271,201091,2060
"24",26977,54,129746,67413,849
"25",57157,16,70022,54130,700
"26",57633,80,277714,230455,2908
"27",9087,1151,4398359,3323057,42227
"28",57626,38,160969,134390,1661
"29",22543,5,26847,13404,89
"30",8426,154,686153,396639,6636
"31",57869,26,131531,96227,898
"32",35408,285,1255330,560381,11710
"33",31249,36,126466,88433,637
"34",9751,52,361488,294361,3681
"35",91005,37,177080,101227,1122
"36",27831,58,253151,114945,1438
"37",35029,53,138555,101000,1277
"38",32257,108,223662,114417,1021
"39",30332,18,41032,31002,389
"40",30619,15,81090,44712,573
"41",19795,67,298616,215136,2699
"42",26549,22,95863,63664,654
"43",27942,152,1172871,727568,4317
"44",32266,77,1112338,635286,7998
"45",19600,265,307942,180286,2377
"46",4061,18,69306,45860,575
"47",58562,29,109791,73353,934
"48",58727,27,111045,89542,1108
"49",35189,267,715974,540631,6810
"50",14936,33,115013,79922,988
"51",7506,250,960617,655173,8266
"52",18489,147,520044,417100,5238
"53",26568,45,195102,117544,1471
"54",14311,14,102064,79504,823
"55",32304,6,25872,12395,155
"56",58697,9,50064,35733,451
"57",22658,50,271059,164721,1786
"58",9812,8,38086,25319,189
"59",28380,150,571173,277879,3484
"60",27015,177,345005,288376,893
